Data retrieved on: 2025-11-10T16:27:04.098071
,T1,T2
0,206.83559158826625,88.10265686197052
1,206.7522393733354,88.36992396331077
2,208.52367809692115,85.63075312574549
3,203.46982717425726,86.7984769764747
4,205.23133582369803,87.16502696774278
5,208.31303959888095,89.65281525812347
6,205.51148676005207,87.9557718480117
7,205.25428452307438,89.2630810224635
8,208.20256117015896,91.97325489551734
9,205.66448346842768,90.55963432330088
10,204.90060344817834,90.77457099389581
11,208.3429995431276,88.69020068514259
12,208.2538711705623,88.79469487077208
13,206.00803212811485,88.93213121589233
14,208.06531782990788,89.42613623095033
15,206.75151843204236,89.56793685839187
16,209.6002300965727,91.17133267498635
17,209.44402895710238,89.42499237201434
18,207.31775831944123,88.33095095558649
19,210.22202295581891,91.69162294658092
20,209.16307914654746,90.75736437231893
21,209.99687542848133,89.35670524716575
22,211.75329260061102,88.29793854493568
23,206.96771098257867,89.7159410137051
24,207.88998494422725,88.08564335928922
25,205.54516024067993,88.75940325818829
26,211.78845178349877,86.49036745768456
27,210.1728411391374,89.39091605141455
28,205.459314525004,85.62635290838433
29,208.09125976553096,88.47088120279273
30,211.48038947614543,87.94498181464114
31,209.93479727840256,86.37440499852558
32,210.66779731259993,85.52712253188842
33,209.43897550143507,86.50179499652738
34,207.0377975010332,88.98561718423898
35,211.0321637628782,88.09109791614168
36,210.11394788741353,88.60111596634682
37,206.56974299772716,87.60026166435841
38,208.39933491976242,85.96178780070646
39,208.07263832794476,87.33016890686434
40,205.3290522329255,87.0350996919208
41,208.71155303061377,88.12000675611995
42,207.43971264112136,87.58046322457251
43,209.35503170750042,84.56150865595987
44,205.77289214910923,88.55032660143017
45,206.0818765079628,87.62024996232618
46,209.79349779831267,85.68804256157075
47,207.1798489841075,88.70033449735543
48,208.32232762831282,90.06005054400755
49,205.84853104157855,88.14324469772333
50,203.85202488020204,90.32816857629552
51,206.76965899624776,87.857978047552
52,207.6193290739355,87.83140841340862
53,212.1864328984442,89.77196826129227
