"",timestamp,"",X,W,C,Y
0,2025-11-20T13:19:10.649103,0,4.354152,1.925008,B,6.887135
1,2025-11-20T13:19:10.649103,1,6.162612,1.963571,A,5.271521
2,2025-11-20T13:19:10.649103,2,10.482143,-1.608415,C,5.087114
3,2025-11-20T13:19:10.649103,3,2.007054,1.740785,A,6.007736
4,2025-11-20T13:19:10.649103,4,0.805013,-0.598868,A,5.854437
5,2025-11-20T13:19:10.649103,5,2.322882,3.688918,A,7.920086
6,2025-11-20T13:19:10.649103,6,6.626421,1.328715,A,5.990685
7,2025-11-20T13:19:10.649103,7,8.706431,-3.329443,C,1.371315
8,2025-11-20T13:19:10.649103,8,5.536054,5.064528,A,10.808018
9,2025-11-20T13:19:10.649103,9,6.874117,4.460508,B,12.903320
10,2025-11-20T13:19:10.649103,10,-1.465566,0.771590,A,2.294552
11,2025-11-20T13:19:10.649103,11,8.970486,2.858490,A,8.010032
12,2025-11-20T13:19:10.649103,12,7.212699,1.016423,A,5.025237
13,2025-11-20T13:19:10.649103,13,3.092870,1.989076,B,5.041427
14,2025-11-20T13:19:10.649103,14,1.928798,-0.372223,A,1.125572
15,2025-11-20T13:19:10.649103,15,8.504799,2.129390,A,6.252305
16,2025-11-20T13:19:10.649103,16,1.444089,4.646708,A,6.345507
17,2025-11-20T13:19:10.649103,17,6.647459,5.189180,A,7.759234
18,2025-11-20T13:19:10.649103,18,1.579652,-0.145587,A,3.529972
19,2025-11-20T13:19:10.649103,19,-4.500491,3.228516,A,3.770259
20,2025-11-20T13:19:10.649103,20,1.786403,-3.613450,C,-0.874274
21,2025-11-20T13:19:10.649103,21,1.474217,2.787467,A,5.167891
22,2025-11-20T13:19:10.649103,22,-1.175833,6.354798,A,7.987405
23,2025-11-20T13:19:10.649103,23,8.150608,0.953122,A,9.789571
24,2025-11-20T13:19:10.649103,24,6.843525,4.640586,B,10.794635
25,2025-11-20T13:19:10.649103,25,5.142478,7.028265,A,11.763353
26,2025-11-20T13:19:10.649103,26,5.112966,2.842361,B,8.465609
27,2025-11-20T13:19:10.649103,27,2.632686,0.121560,B,3.659382
28,2025-11-20T13:19:10.649103,28,4.606460,-2.650973,C,4.616282
29,2025-11-20T13:19:10.649103,29,13.340391,4.690905,A,12.987362
