"",timestamp,X,W,C,Y,call_id
0,2025-11-25 11:19:13.514863,3.143561,1.762752,B,4.661009,0
1,2025-11-25 11:19:13.514863,12.152800,2.293855,A,8.736679,0
2,2025-11-25 11:19:13.514863,10.708037,-3.286053,A,5.259741,0
3,2025-11-25 11:19:13.514863,7.655504,-2.151383,B,4.371184,0
4,2025-11-25 11:19:13.514863,7.418084,4.455432,A,11.084741,0
5,2025-11-25 11:19:13.514863,1.857420,0.324925,B,3.557332,0
6,2025-11-25 11:19:13.514863,-3.494319,-0.102602,C,-2.826912,0
7,2025-11-25 11:19:13.514863,5.985994,1.726016,A,8.810163,0
8,2025-11-25 11:19:13.514863,11.558285,-2.492673,C,6.298871,0
9,2025-11-25 11:19:13.514863,3.207832,4.667677,A,7.338395,0
10,2025-11-25 11:19:13.514863,15.570092,1.854863,A,8.593058,0
11,2025-11-25 11:19:13.514863,-0.836022,3.384581,A,4.163817,0
12,2025-11-25 11:19:13.514863,5.104035,1.778605,A,6.762840,0
13,2025-11-25 11:19:13.514863,3.825784,2.242209,A,7.035231,0
14,2025-11-25 11:19:13.514863,5.212622,-1.409038,C,2.747228,0
15,2025-11-25 11:19:13.514863,5.162627,1.508014,A,6.262747,0
16,2025-11-25 11:19:13.514863,-0.430942,-1.611242,C,1.512218,0
17,2025-11-25 11:19:13.514863,0.720414,-2.027847,C,-0.272024,0
18,2025-11-25 11:19:13.514863,4.979587,0.247054,A,1.513718,0
19,2025-11-25 11:19:13.514863,5.810052,-1.639379,A,5.017805,0
20,2025-11-25 11:19:13.514863,7.078359,-0.061442,A,6.825690,0
21,2025-11-25 11:19:13.514863,6.031464,0.110954,A,6.450379,0
22,2025-11-25 11:19:13.514863,3.337503,2.296957,B,7.375129,0
23,2025-11-25 11:19:13.514863,5.133506,0.343628,B,4.819818,0
24,2025-11-25 11:19:13.514863,7.999285,-1.438833,B,6.568397,0
25,2025-11-25 11:19:13.514863,8.083812,-1.007441,B,7.703944,0
26,2025-11-25 11:19:13.514863,16.736211,-1.618028,C,8.004383,0
27,2025-11-25 11:19:13.514863,5.316108,0.611198,A,5.718072,0
28,2025-11-25 11:19:13.514863,7.752444,-1.934490,C,1.920344,0
29,2025-11-25 11:19:13.514863,4.008805,-1.013509,C,4.736540,0
30,2025-11-25 11:19:13.514863,7.105799,-0.336764,A,5.222553,0
31,2025-11-25 11:19:13.514863,4.460593,-2.496233,A,1.683482,0
32,2025-11-25 11:19:13.514863,3.365910,-3.296876,B,-0.863309,0
33,2025-11-25 11:19:13.514863,4.861658,-4.484098,C,-1.678871,0
34,2025-11-25 11:19:13.514863,7.939301,1.329672,A,5.695131,0
35,2025-11-25 11:19:13.514863,6.792188,1.301583,A,6.313834,0
36,2025-11-25 11:19:13.514863,11.938920,-0.807340,A,9.563976,0
37,2025-11-25 11:19:13.514863,0.859886,1.779817,A,6.514956,0
38,2025-11-25 11:19:13.514863,6.218222,1.682131,A,8.853807,0
39,2025-11-25 11:19:13.514863,5.629400,0.064003,A,3.571539,0
40,2025-11-25 11:19:13.514863,6.283465,-1.231371,C,6.728775,0
41,2025-11-25 11:19:13.514863,2.403906,-4.762480,A,0.106154,0
42,2025-11-25 11:19:13.514863,7.657133,3.939936,B,12.105235,0
43,2025-11-25 11:19:13.514863,0.772204,1.305644,C,5.197262,0
44,2025-11-25 11:19:13.514863,9.294613,-0.896170,A,8.935842,0
45,2025-11-25 11:19:13.514863,3.920064,2.015717,B,4.658625,0
46,2025-11-25 11:19:13.514863,7.422701,-1.788457,C,6.255749,0
47,2025-11-25 11:19:13.514863,7.401903,0.725582,A,7.158527,0
48,2025-11-25 11:19:13.514863,6.009586,-0.553220,A,5.989018,0
49,2025-11-25 11:19:13.514863,8.243995,0.300966,B,7.139864,0
50,2025-11-25 11:19:13.514863,2.220995,2.125181,C,4.148683,0
51,2025-11-25 11:19:13.514863,14.597232,2.003483,C,11.124622,0
52,2025-11-25 11:19:13.514863,9.873037,-0.479530,C,8.976914,0
53,2025-11-25 11:19:13.514863,1.410381,1.526817,B,3.748202,0
54,2025-11-25 11:19:13.514863,2.033374,-0.946585,A,0.861140,0
55,2025-11-25 11:19:13.514863,2.690158,1.155323,B,3.748357,0
56,2025-11-25 11:19:13.514863,4.752054,1.717982,B,5.092373,0
57,2025-11-25 11:19:13.514863,-0.298812,1.408043,C,6.310328,0
58,2025-11-25 11:19:13.514863,6.860551,0.857712,B,7.328486,0
59,2025-11-25 11:19:13.514863,4.163439,0.798487,C,7.731737,0
60,2025-11-25 11:19:13.514863,-0.657025,-1.069125,C,3.338527,0
61,2025-11-25 11:19:13.514863,9.370097,1.304324,B,12.367437,0
62,2025-11-25 11:19:13.514863,9.811422,0.931350,A,5.488901,0
63,2025-11-25 11:19:13.514863,3.605990,0.764043,B,4.824412,0
64,2025-11-25 11:19:13.514863,2.525801,3.660982,A,6.524678,0
65,2025-11-25 11:19:13.514863,-0.876292,-0.021031,A,2.312301,0
66,2025-11-25 11:19:13.514863,5.316471,4.202644,B,8.783533,0
67,2025-11-25 11:19:13.514863,6.049650,-0.183539,C,1.238917,0
68,2025-11-25 11:19:13.514863,3.863301,-3.078945,A,3.120494,0
69,2025-11-25 11:19:13.514863,8.156034,0.254026,C,5.664542,0
70,2025-11-25 11:19:13.514863,8.890022,3.425967,A,9.094044,0
71,2025-11-25 11:19:13.514863,1.551142,-0.186068,A,4.389422,0
72,2025-11-25 11:19:13.514863,3.807295,0.032455,A,2.555544,0
73,2025-11-25 11:19:13.514863,4.622709,3.694246,A,7.526104,0
74,2025-11-25 11:19:13.514863,-13.529502,-6.044724,C,-8.761444,0
75,2025-11-25 11:19:13.514863,4.356825,0.554005,A,6.844289,0
76,2025-11-25 11:19:13.514863,5.882509,-1.112084,C,5.775908,0
77,2025-11-25 11:19:13.514863,13.894828,-2.172598,C,3.333628,0
78,2025-11-25 11:19:13.514863,3.176974,2.112580,C,6.994962,0
79,2025-11-25 11:19:13.514863,9.902660,1.585964,A,9.921043,0
80,2025-11-25 11:19:13.514863,2.779316,0.736646,B,3.739380,0
81,2025-11-25 11:19:13.514863,6.743010,0.284744,A,6.958083,0
82,2025-11-25 11:19:13.514863,-2.153975,1.261551,C,3.541703,0
83,2025-11-25 11:19:13.514863,2.830686,0.930251,A,8.179956,0
84,2025-11-25 11:19:13.514863,5.304825,-2.293329,B,5.285247,0
85,2025-11-25 11:19:13.514863,4.810146,-1.549906,B,3.769357,0
86,2025-11-25 11:19:13.514863,3.657240,-3.676469,B,-1.531026,0
87,2025-11-25 11:19:13.514863,4.883970,-1.074386,B,5.181345,0
88,2025-11-25 11:19:13.514863,1.639730,-2.759726,A,2.044649,0
89,2025-11-25 11:19:13.514863,11.900937,0.325449,A,8.567274,0
90,2025-11-25 11:19:13.514863,7.395763,1.263261,B,7.751981,0
91,2025-11-25 11:19:13.514863,3.766994,-1.341929,B,3.152499,0
92,2025-11-25 11:19:13.514863,7.513355,-1.276661,A,4.172605,0
93,2025-11-25 11:19:13.514863,6.869279,-2.301619,C,4.787374,0
94,2025-11-25 11:19:13.514863,6.167283,1.146826,B,6.643078,0
95,2025-11-25 11:19:13.514863,-5.829610,-0.720980,C,1.301018,0
96,2025-11-25 11:19:13.514863,6.607474,0.492454,A,6.545060,0
97,2025-11-25 11:19:13.514863,9.230337,-1.950946,A,3.766388,0
98,2025-11-25 11:19:13.514863,10.679661,1.477440,C,11.253512,0
99,2025-11-25 11:19:13.514863,6.883232,-3.187613,C,0.093433,0
100,2025-11-25 12:22:14.507923,5.713945,-1.184615,B,5.485501,1
101,2025-11-25 12:22:14.507923,2.465351,0.653085,A,3.954320,1
102,2025-11-25 12:22:14.507923,4.834873,2.122580,A,8.174696,1
103,2025-11-25 12:22:14.507923,1.912471,-3.169790,C,0.365894,1
104,2025-11-25 12:22:14.507923,0.989025,2.762246,A,6.358703,1
105,2025-11-25 12:22:14.507923,3.157554,2.631778,C,6.958211,1
106,2025-11-25 12:22:14.507923,6.460828,1.792000,B,7.893734,1
107,2025-11-25 12:22:14.507923,-1.362791,1.410984,A,4.031278,1
108,2025-11-25 12:22:14.507923,2.885932,4.571948,B,7.752363,1
109,2025-11-25 12:22:14.507923,2.527204,1.595142,A,6.890312,1
110,2025-11-25 12:22:14.507923,10.416927,-0.620541,A,4.843257,1
111,2025-11-25 12:22:14.507923,4.483440,-0.021231,A,7.010992,1
112,2025-11-25 12:22:14.507923,6.359417,-1.804665,B,4.298174,1
113,2025-11-25 12:22:14.507923,2.160666,-3.429022,C,0.323322,1
114,2025-11-25 12:22:14.507923,10.417561,-1.981465,A,5.856204,1
115,2025-11-25 12:22:14.507923,12.724038,-3.396654,C,4.816442,1
116,2025-11-25 12:22:14.507923,2.059606,-0.739662,A,5.936403,1
117,2025-11-25 12:22:14.507923,3.357332,0.259356,C,2.028289,1
118,2025-11-25 12:22:14.507923,5.409493,-0.170575,A,3.638540,1
119,2025-11-25 12:22:14.507923,3.419236,-1.067762,B,2.170935,1
120,2025-11-25 12:22:14.507923,6.652538,0.655038,B,7.385537,1
121,2025-11-25 12:22:14.507923,1.007935,0.268799,A,2.150603,1
122,2025-11-25 12:22:14.507923,4.527869,-1.624009,B,4.601865,1
123,2025-11-25 12:22:14.507923,-3.892913,0.393694,A,2.542067,1
124,2025-11-25 12:22:14.507923,-2.710674,2.042019,C,5.389941,1
125,2025-11-25 12:22:14.507923,10.867790,-0.662239,C,9.090615,1
126,2025-11-25 12:22:14.507923,-2.373732,-3.857967,C,-2.840563,1
127,2025-11-25 12:22:14.507923,4.877583,3.122497,A,12.344967,1
128,2025-11-25 12:22:14.507923,-2.638998,2.874090,A,3.867586,1
129,2025-11-25 12:22:14.507923,6.470676,0.681734,B,5.579907,1
130,2025-11-25 12:22:14.507923,3.297726,-3.383956,A,1.512489,1
131,2025-11-25 12:22:14.507923,7.007702,2.566345,B,8.593851,1
132,2025-11-25 12:22:14.507923,7.950073,1.170858,B,9.978140,1
133,2025-11-25 12:22:14.507923,0.341976,-0.344762,A,1.591411,1
